[Tue Apr 25 21:36:27.871208 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:28.583489 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:28.873356 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:29.584051 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:29.872821 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:30.588188 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:30.872422 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:31.585075 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:31.874534 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:32.583785 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:32.873123 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:33.584243 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
